codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
C891,Projeto Criosfera-C891,89079.0,01/01/2014,-84.0,-79.4942,1285,3600.0,43200.0,Antarctica/South_Pole,New Zealand Daylight Time
A108,Cruzeiro do Sul-A108,81881.0,14/05/2015,-7.610773,-72.681333,220,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A140,Epitaciolândia-A140,86620.0,25/09/2009,-11.023752,-68.73518,225,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A138,Feijó-A138,81924.0,24/09/2009,-8.142654,-70.343594,157,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A137,Marechal Thaumaturgo-A137,81922.0,27/10/2009,-8.950008,-72.786778,221,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A102,Parque Estadual Chandless-A102,81963.0,05/08/2008,-9.358353,-69.926257,185,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A136,Porto Walter-A136,81921.0,29/10/2009,-8.267197,-72.747838,205,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A104,Rio Branco-A104,81965.0,11/07/2008,-9.957844,-68.165169,224,0.0,-18000.0,America/Rio_Branco,Acre Standard Time
A353,Arapiraca-A353,81996.0,27/04/2008,-9.804551,-36.619198,237,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A355,Coruripe-A355,86619.0,06/09/2008,-10.128482,-36.286348,82,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A303,Maceió-A303,81998.0,25/02/2003,-9.551168,-35.770195,84,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A327,Palmeira dos Índios-A327,81995.0,11/07/2007,-9.420334,-36.620371,278,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A323,Pão de Açucar-A323,81994.0,14/07/2007,-9.74922,-37.430765,21,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
